acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,pixel_resolution,provider,published,publishing_stage,quality_category,satellite_azimuth,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent,id,site
2021-04-02T18:58:06.98421Z,0.0,86,90,0.01,0,True,4.0,0,PSB.SD,PSScene,3,3,planetscope,2022-12-10T00:43:53Z,finalized,standard,276.0,240a,6,0,4332819,147.1,53.8,2022-12-10T00:43:53Z,3.0,62,99,20180326_181920_103c,scott_creek
2021-09-30T18:05:55.7131Z,0.0,95,100,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-12-04T09:51:10Z,finalized,standard,271.7,2465,0,0,4955820,140.4,42.0,2022-12-04T09:51:10Z,1.0,71,100,20180327_181959_0e2f,scott_creek
2021-09-20T18:05:43.826622Z,0.0,96,99,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-12-03T15:31:36Z,finalized,standard,274.5,2457,1,0,4919190,136.3,44.7,2022-12-03T15:31:36Z,3.0,73,100,20180327_183646_101c,scott_creek
2022-12-02T17:56:04.595758Z,0.0,96,99,0.0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-12-02T22:11:51Z,finalized,standard,103.1,2427,0,0,6117345,149.2,24.5,2022-12-03T06:57:40Z,2.3,70,100,20180328_181858_1001,scott_creek
2022-12-02T18:29:45.317208Z,0.0,96,100,0.0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-12-02T21:19:57Z,finalized,standard,100.8,2474,0,0,6117199,157.3,27.6,2022-12-03T08:01:20Z,5.0,70,100,20180329_181930_100a,scott_creek
2022-11-29T17:54:42.916389Z,0.0,96,99,0.0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-11-29T21:57:32Z,finalized,standard,262.6,2448,1,0,6110763,148.7,24.7,2022-11-30T04:35:25Z,0.7,70,100,20180329_183725_0f2a,scott_creek
2022-11-27T18:33:18.509625Z,0.0,73,60,0.11,7,True,4.0,4,PSB.SD,PSScene,29,3,planetscope,2022-11-28T00:24:00Z,finalized,standard,277.8,2479,0,0,6106912,157.4,28.4,2022-11-28T06:36:46Z,5.1,61,89,20180401_181924_100c,scott_creek
2022-11-26T18:48:11.994419Z,0.0,92,95,0.03,3,True,3.8,0,PSB.SD,PSScene,0,3,planetscope,2022-11-26T23:15:03Z,finalized,standard,124.5,2413,2,0,6104067,161.7,29.7,2022-11-27T04:33:12Z,0.5,72,97,20180408_181946_101b,scott_creek
2022-11-24T18:29:59.193785Z,0.0,96,100,0.0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-11-25T02:35:19Z,finalized,standard,151.0,249b,0,0,6099875,157.2,29.1,2022-11-25T09:59:00Z,0.6,70,100,20180409_182014_1035,scott_creek
2022-11-24T18:29:56.848734Z,0.0,98,100,0.0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-11-25T00:54:56Z,finalized,standard,150.2,249b,0,0,6099875,157.2,29.0,2022-11-25T09:58:26Z,0.6,73,100,20180412_183526_104b,scott_creek
